code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title,Employment in Switzerland by economic sector,L’emploi en Suisse par secteurs économiques,Beschäftigung in der Schweiz nach Wirtschaftszweig,L'impiego in Svizzera per settori economici,O emprego na Suíça por setores econômicos,التشغيل في سويسرا حسب القطاعات الإقتصادية,Занятость в Швейцарии по отраслям промышленности,El empleo en Suiza por sectores económicos,セクター別に見たスイスの雇用,瑞士各经济领域就业状况
descr,Proportion of labour force occupied by various sectors (1991-2015). The four biggest sectors are displayed. It is possible to choose additional sectors under the graphic.,Part des personnes actives occupées par branche (1991 à 2015). Les quatre branches les plus importantes en termes d'emploi sont affichées. Il est possible de sélectionner sous le graphique des secteurs économiques supplémentaires.,"Anteil beschäftigter Personen pro Branche (1991-2015). Die vier grössten Branchen sind hier abgebildet. Klicken Sie weitere Branchen an, die Sie interessieren.","Proporzione delle persone attive per settore economico (dal 1991 al 2015). Sono visualizzati automaticamente i quattro settori più importanti. Per visualizzare altri settori, selezionate il ramo che vi interessa.",Percentagem de pessoas empregadas por setor econômico (1991 a 2015). Os quatro setores mais importantes em termos de emprego são exibidos. Você pode selecionar abaixo do gráfico setores adicionais da economia.,نسبة الأشخاص النشطين حسب القطاعات (من 1991 إلى 2015). يظهر الرسم القطاعات الأربع الأهم من حيث التوظيف، وبالإمكان اختيار قطاعات اقتصادية إضافية (تحت الرسم).,Доля от общего числа трудоспособных граждан по данной отрасли (1991-2015). Кликните на другие интересующие вас отрасли,Porcentaje de personas activas por sectores (1991 a 2015). Los cuatro sectores más importantes en términos de empleo se muestran en este gráfico. Seleccione con un clic otros rubros. ,４大セクターの雇用者の割合の動向（１９９１～２０１５年）。グラフ下の各分野をクリックすると、その分野を追加できます。,各行业就业比例(1991-2015年)。图中显示的是岗位数最多的四个行业，也可点击下方您感兴趣的其他领域。
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
source.name,Federal Statistical Office,Office fédéral de la statistique ESPA,Bundesamt für Statistik BFS,Ufficio federale di statistica UST,"Departamento Federal de Estatísticas (BFS, na sigla em alemão)",المكتب الفدرالي للإحصاء,Федеральное ведомство статистики (BfS),Oficina Federal de Estadísticas (OFE),連邦統計局,联邦统计局
source.link,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/03/02/blank/data/03.Document.100751.xls,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/03/02/blank/data/03.Document.100751.xls,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/03/02/blank/data/03.Document.100751.xls,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/03/02/blank/data/03.Document.100751.xls,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/03/02/blank/data/03.Document.100751.xls,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/03/02/blank/data/03.Document.100751.xls,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/03/02/blank/data/03.Document.100751.xls,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/03/02/blank/data/03.Document.100751.xls,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/03/02/blank/data/03.Document.100751.xls,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/03/02/blank/data/03.Document.100751.xls
A.eco,Agriculture,Agriculture,Land- und Forstwirtschaft,Agricoltura e silvicoltura,Agricultura e silvicultura,الزراعة,Сельское и лесное хозяйство,Agricultura y silvicultura,農業,农林业
BE.eco,"Industrial activity, energy production","Activité industrielle, prod. d'énergie","Verarbeitendes Gewerbe, Energieversorgung","Attività industriale, produzione di energia","Atividades industriais, produção de energia",النشاط الصناعي، إنتاج الطاقة,"Обрабатывающие отрасли, энергетика","Actividaes industriales, producción de energía",製造・発電,加工行业、能源生产
F.eco,Construction,Construction,Baugewerbe,Edilizia,Construção,البناء,Строительство,Construcción,建設,建筑业
G.eco,"Trade, repairs","Commerce, réparation","Handel, Reparaturgewerbe","Commercio, riparazione","Comércio, reparos",التجارة، والإصلاحات,Торговля и ремонт,"Comercio, reparaciones",商業・メンテナンス,商业、维修业
H.eco,Transportation and storage,Transports et entreposage,Logistik,Logistica,Transportes e logística,النقل والتخزين,Логистика,Transporte y logística,輸送・保管,物流行业
